Obs	omega	k
o35.6	-0.3450576730534663	0.013577487579222445
o35.7	-0.3552189962267521	0.01330303930481308
o35.8	-0.3651952933930466	0.013024408469124171
o35.9	-0.37496670697839685	0.012742434292774829
o36.0	-0.3845503881761451	0.01245695432716215
o36.1	-0.39392586345648434	0.012167738922221337
o36.2	-0.40310042008278685	0.011875870571375347
o36.3	-0.41207129678773596	0.01158043074163506
o36.4	-0.4208242071179269	0.011282198316080183
o36.5	-0.42937488392053597	0.010981148331552504
o36.6	-0.43770172471571517	0.010676983047113453
o36.7	-0.4458180130069971	0.010370806439719826
o36.8	-0.4537117161849626	0.010061665814679321
o36.9	-0.4613826669561973	0.00975046402275942
o37.0	-0.4688310347863096	0.009436990188411987
o37.1	-0.47605205555528635	0.009121181953221646
o37.2	-0.4830446961674849	0.008803873114799077
o37.3	-0.489810686939743	0.008484022298393401
o37.4	-0.4963385381168015	0.00816338295004354
o37.5	-0.5026411121050657	0.007840669414108242
o37.6	-0.508699796194191	0.007516587065362207
o37.7	-0.5145309173523971	0.007191340481763619
o37.8	-0.520117174305562	0.0068645509412175445
o37.9	-0.5254703030175686	0.006537278834744114
o38.0	-0.5305809173226579	0.006208337185557301
o38.1	-0.5354507023001187	0.0058795484718932025
o38.2	-0.5400813204081716	0.005549533478702434
o38.3	-0.5444651077229861	0.0052192079663331
o38.4	-0.5486113718495019	0.0048884559298345565
o38.5	-0.5525081489053358	0.004557309274241389
o38.6	-0.5561668613362313	0.0042263207328190056
o38.7	-0.559576167074004	0.0038948964443372147
o38.8	-0.562745126296385	0.003564168466417411
o38.9	-0.5656674653046484	0.0032330042196948576
o39.0	-0.568345261988903	0.002903028950631409
o39.1	-0.570780670030536	0.0025726565247014
o39.2	-0.5729681740423163	0.002243919747857287
o39.3	-0.5749158408731204	0.0019152399056630853
o39.4	-0.576616662503433	0.001587844554321316
o39.5	-0.5780769773884591	0.0012611152073319087
o39.6	-0.5792929981438919	0.0009357914781712301
o39.7	-0.5802696908808348	0.0006114734107165454
o39.8	-0.5810027251437052	0.00028873120376353423
o39.9	-0.5814995114078497	-3272538540752268e-20
o40.0	-0.5817537228669625	-0.0003523849524404016
o40.1	-0.5817735961595746	-0.0006705416296901717
o40.2	-0.5815547685837388	-0.0009866270782035724
o40.3	-0.5811020738199287	-0.0013010582374409912
o40.4	-0.5804146836839773	-0.0016130887581582152
o40.5	-0.57949635244745	-0.0019235179962224375
o40.6	-0.5783457482180491	-0.002230889151730933
o40.7	-0.5769678200878054	-0.002536632259361911
o40.8	-0.5753613547267414	-0.002839174925105513
o40.9	-0.573530643212233	-0.0031396944294167714
o41.0	-0.5714760659411195	-0.003437121808282026
o41.1	-0.5692005172332659	-0.003731984286001709
o41.2	-0.5667056909358281	-0.00402393540387444
o41.3	-0.5639942009604019	-0.004312724078439009
o41.4	-0.5610672227989539	-0.004598850072992707
o41.5	-0.5579295820583227	-0.004881165737796872
o41.6	-0.5545797912894961	-0.005160613228865638
o41.7	-0.5510256094015062	-0.005436587132186836
o41.8	-0.5472639676101753	-0.00570898542101773
o41.9	-0.543302088835927	-0.005978173131568609
o42.0	-0.5391405626044684	-0.006243278226283492
o42.1	-0.5347813512305597	-0.006504899211413175
o42.2	-0.5302312565847829	-0.006762867253641575
o42.3	-0.5254878283480565	-0.007016534489768315
o42.4	-0.5205584944431926	-0.00726665206667948
o42.5	-0.515444674198161	-0.007512416036669425
o42.6	-0.5101477890309787	-0.00775422823559021
o42.7	-0.5046757072125345	-0.007991894547752267
o42.8	-0.4990262646785026	-0.008225134463880485
o42.9	-0.4932060674574226	-0.008454467524516215
o43.0	-0.48721840596503946	-0.008678783940606685
o43.1	-0.48106533959075526	-0.008899281768610205
o43.2	-0.4747504232989199	-0.00911463533334246
o43.3	-0.4682794100294022	-0.009326050917721831
o43.4	-0.46165300746930843	-0.00953219615900218
o43.5	-0.45487652106211834	-0.009734267381217576
o43.6	-0.44795264496925163	-0.009931022446438287
o43.7	-0.4408869480636083	-0.010123355825348429
o43.8	-0.4336800978665278	-0.0103107152354108
o43.9	-0.42633929346952754	-0.010493189584723298
o44.0	-0.41886498496787256	-0.010670914284892571
o44.1	-0.4112641961808347	-0.010843341102923301
o44.2	-0.4035396930370716	-0.011011190400465193
o44.3	-0.39569346249693327	-0.01117351694461921
o44.4	-0.3877316348660942	-0.01133094097138354
o44.5	-0.3796576746763359	-0.01148344221848896
o44.6	-0.3714762982290233	-0.011630418661890614
o44.7	-0.3631898024678218	-0.011772455148617716
o44.8	-0.3548016343399498	-0.011909310080773158
o44.9	-0.34632007519215013	-0.012040713331762862
o45.0	-0.3377464280014291	-0.012167052396524283
o45.1	-0.32908083201027866	-0.012288121996406332
o45.2	-0.3203343333442604	-0.012403712114297668
o45.3	-0.3115093697750478	-0.012514127824684586
o45.4	-0.30260544959453284	-0.012619298669898499
o45.5	-0.29363005435865275	-0.012718927033065068
o45.6	-0.2845900968828874	-0.012813287615821567
o45.7	-0.2754855771672368	-0.012902385586682217
o45.8	-0.26631876601115756	-0.012986031165881373
o45.9	-0.25710050404236295	-0.013064308357176176
o46.0	-0.24783118780085503	-0.013137245453787721
o46.1	-0.2385117245605503	-0.013204799960508662
o46.2	-0.22915276546538355	-0.013267064598443542
o46.3	-0.21975525783284838	-0.013323944948586132
o46.4	-0.2103197418691222	-0.01337544101093602
o46.5	-0.20085764825869437	-0.013421510717420981
o46.6	-0.1913697463791654	-0.013462496902917757
o46.7	-0.18185517263090714	-0.013498091608941663
o46.8	-0.1723257831737994	-0.013528294835492699
o46.9	-0.1627840392869659	-0.013553102017950514
o47.0	-0.1532284547497044	-0.013572999199766012
o47.1	-0.14366926067583857	-0.01358753799191495
o47.2	-0.13410785760258573	-0.013596718394397326
o47.3	-0.12454765041687925	-0.013600669422135087
o47.4	-0.11499599399569072	-0.013599775563925276
o47.5	-0.10545109962856902	-0.013593591455011156
o47.6	-0.09592012351668316	-0.013582117095392587
o47.7	-0.08641196121493319	-0.013565771068218269
o47.8	-0.07691946143846301	-0.013544499031803022
o47.9	-0.06745396024218378	-0.013518032180928619
o48.0	-0.05802134896189164	-0.013486459983486493
o48.1	-0.04861692642430762	-0.013450411121940786
o48.2	-0.03925114558387344	-0.013409284163696106
o48.3	-0.029925737208221365	-0.01336291142993565
o48.4	-0.020644515842115768	-0.013312441248178873
o48.5	-0.01141109024129422	-0.013257026811214767
o48.6	-0.0022256147416888084	-0.013196668119043463
o48.7	0.006899868440261998	-0.013131830284340703
o48.8	0.015970052463338408	-0.013062544347397509
o48.9	0.02498176865388335	-0.012988462117236865
o49.0	0.033921979477878894	-0.01290994024830655
o49.1	0.04279993551998609	-0.012827241781739747
o49.2	0.05160491534667828	-0.012739907164253245
o49.3	0.06033167893990929	-0.012648250366714272
o49.4	0.06898588503597536	-0.012552638596599051
o49.5	0.07755643680655205	-0.012452561161536702
o49.6	0.08604306630602715	-0.012348349472258711
o49.7	0.0944427912294038	-0.012240361541940996
o49.8	0.10275367320396438	-0.012128087015268046
o49.9	0.1109698752084108	-0.012011932337920861
o50.0	0.11909074454617459	-0.0118921393853684
o50.1	0.12711653861749453	-0.011768246092807577
o50.2	0.13503496408077367	-0.011640791125309413
o50.3	0.14285513700938793	-0.011509794795355882
o50.4	0.15056682302856145	-0.011374807364609024
o50.5	0.1581668585958082	-0.0112368072690254
o50.6	0.1656605774636019	-0.01109523618146896
o50.7	0.1730358061406305	-0.01094992638625239
o50.8	0.18029760482234447	-0.010801942867731673
o50.9	0.18744016070709782	-0.01065044909875884
o51.0	0.19446148023595644	-0.01049566958938944
o51.1	0.20135974867338086	-0.010338231719090873
o51.2	0.20813507190071595	-0.010177487331946011
o51.3	0.21477975424736567	-0.010013975709995543
o51.4	0.2212980864206335	-0.009847770114520121
o51.5	0.22768565620686837	-0.009678358971891288
o51.6	0.23393765058771432	-0.009506980110914193
o51.7	0.24005982324998368	-0.009332707489825565
o51.8	0.2460405468668998	-0.009155807035921143
o51.9	0.25188788660727157	-0.008976865154019797
o52.0	0.25759384212941927	-0.008795237012211993
o52.1	0.2631586554097037	-0.008611636251024402
o52.2	0.2685820623134584	-0.008425850678249885
o52.3	0.273861465275527	-0.008237721505307966
o52.4	0.2789952396902384	-0.00804808922442557
o52.5	0.2839855538851291	-0.007856184535543626
o52.6	0.288824281826054	-0.007662659857075316
o52.7	0.29351914474066676	-0.007467430179274037
o52.8	0.2980609335972828	-0.007270269249114031
o52.9	0.30245504865524964	-0.007072034457201656
o53.0	0.3066972462483203	-0.0068719356258645226
o53.1	0.31078666840445424	-0.006670706951262261
o53.2	0.31472459655523805	-0.006468127702772344
o53.3	0.3185082845020236	-0.006264154863879352
o53.4	0.322138333680629	-0.006059419490959533
o53.5	0.3256150919150608	-0.0058530824263480765
o53.6	0.3289344931929389	-0.005646517294818285
o53.7	0.3321016360738857	-0.005438681534286685
o53.8	0.3351101711343027	-0.005230123064543513
o53.9	0.33796530098881467	-0.005020976183539097
o54.0	0.34066293891881266	-0.004810933754676172
o54.1	0.343204822396829	-0.004600799851446763
o54.2	0.34559143429138617	-0.0043896406646652675
o54.3	0.34781986049070435	-0.004178843143238797
o54.4	0.3498945770840031	-0.0039673356033718965
o54.5	0.3518111245564152	-0.0037557894951615466
o54.6	0.3535736488253289	-0.0035441182605080996
o54.7	0.3551793769247007	-0.0033323144432856333
o54.8	0.3566311104612796	-0.003120794183284481
o54.9	0.357927154842572	-0.002909084857587591
o55.0	0.35906992799680154	-0.0026980268265989343
o55.1	0.3600582021829436	-0.002486758135523265
o55.2	0.36089352678458575	-0.0022764693665849184
o55.3	0.36157708475862094	-0.0020660460060163005
o55.4	0.3621072650683122	-0.001856763857329066
o55.5	0.36248820570245077	-0.0016476759803979793
o55.6	0.36271739078918647	-0.001439540344136889
o55.7	0.36279842957487873	-0.001231971857770242
o55.8	0.36273013136574755	-0.0010254159304451393
o55.9	0.3625153141890783	-0.0008196508557090781
o56.0	0.3621532566678604	-0.0006149937972804373
o56.1	0.36164718082609565	-0.00041130880825263755
o56.2	0.3609955557719943	-0.000208862177433905
o56.3	0.36020272853346597	-7525954061719797e-21
o56.4	0.3592665774560312	0.00019240670769474916
o56.5	0.35819194131513715	0.00039113406157822994
o56.6	0.35697666301470476	0.0005882577300324668
o56.7	0.35562560405189475	0.0007841651107029156
o56.8	0.3541369623413487	0.000978153918314642
o56.9	0.3525151763000239	0.0011709581070301275
o57.0	0.35075941710929665	0.0013615774339413404
o57.1	0.34887293066448766	0.001550859196242406
o57.2	0.3468567029135258	0.0017380303381333425
