Obs	omega	k
o57.3	0.3447119322815473	0.0019235300378578866
o57.4	0.342442131561194	0.002107034952043129
o57.5	0.3400464128900124	0.002288504294105584
o57.6	0.33752952533241876	0.0024681906680435253
o57.7	0.33489071738401927	0.002645335623785404
o57.8	0.3321331767279643	0.0028206322478427272
o57.9	0.3292595888240706	0.002993595570802191
o58.0	0.3262697596771122	0.003164284959637686
o58.1	0.3231679834749573	0.0033328608439797333
o58.2	0.31995497926413435	0.0034987442218633496
o58.3	0.31663251885437393	0.003662410537801611
o58.4	0.31320438084677776	0.003823613762890081
o58.5	0.30967097567977653	0.003982179251053675
o58.6	0.3060349707362562	0.004138398757792669
o58.7	0.3022992954811034	0.0042917829306174556
o58.8	0.2984652611188403	0.004442666771182855
o58.9	0.29453562723418786	0.004590848309127191
o59.0	0.29051211669080734	0.004736244178433734
o59.1	0.28639806486207753	0.004879063791602863
o59.2	0.28219457698082273	0.005018796104544875
o59.3	0.27790493486560447	0.005156040646894441
o59.4	0.27353067665737146	0.005290016176994258
o59.5	0.26907500880956725	0.0054214886594043665
o59.6	0.2645398187078921	0.005549628603170459
o59.7	0.25992801598645054	0.005675155662993002
o59.8	0.2552405486273877	0.005797387988080681
o59.9	0.25048204256915335	0.00591679421404534
o60.0	0.24565352904642296	0.006033077186463101
o60.1	0.2407582299865363	0.006146285824121105
o60.2	0.23579673339704332	0.006256503450609956
o60.3	0.2307744268891896	0.006363413586820861
o60.4	0.22569261935748555	0.006467448804599146
o60.5	0.22055199046457089	0.006568026198649941
o60.6	0.2153575068389572	0.00666555136211798
o60.7	0.21011107992101247	0.006759984619403997
o60.8	0.20481485747390343	0.0068510041004818745
o60.9	0.19947052385424424	0.006938942558038231
o61.0	0.1940822092608374	0.007023641088956811
o61.1	0.18865238565978787	0.007104983728530752
o61.2	0.1831815661586539	0.007183180588508434
o61.3	0.17767412927525486	0.007258092757561584
o61.4	0.17213311575982748	0.007329645371055952
o61.5	0.16655871857907922	0.0073979974099866105
o61.6	0.16095501376507562	0.007463089126196129
o61.7	0.15532531307570344	0.007524792514099315
o61.8	0.14966988322830302	0.00758325269687419
o61.9	0.143992781329918	0.0076384794260121736
o62.0	0.13829692815595365	0.007690330111511726
o62.1	0.1325827118932176	0.007738910042020472
o62.2	0.12685458331682062	0.007784219217538066
o62.3	0.12111517295597118	0.007826235960419481
o62.4	0.11536442993221084	0.007865000434591485
o62.5	0.10960738085445391	0.0079004853118185
o62.6	0.10384610322777925	0.007932690592100597
o62.7	0.09808101158686314	0.007961611688714343
o62.8	0.09231725239577951	0.007987390879485995
o62.9	0.08655560816378936	0.008009903301978774
o63.0	0.08079720450862235	0.00802914895619268
o63.1	0.07504832711576391	0.008045157057323879
o63.2	0.06930772028638676	0.008058125696583165
o63.3	0.06357786506728073	0.008067861756714742
o63.4	0.05786358028529962	0.00807436523771847
o63.5	0.052164864845628336	0.008077745439603462
o63.6	0.046484980487149635	0.008078143088473197
o63.7	0.04082578160242559	0.008075360253252117
o63.8	0.03518835831699575	0.00806930607458338
o63.9	0.029578602602490858	0.008060531374289859
o64.0	0.023993933351799807	0.008048660452741746
o64.1	0.018438632467705704	0.008033675162571335
o64.2	0.012916941393991686	0.008015667728178619
o64.3	0.007426404324950842	0.007994926920078319
o64.4	0.001972366975164369	0.007971148964480007
o64.5	-0.0034440380428359813	0.007944273378230338
o64.6	-0.008820771169529007	0.007914905251998616
o64.7	-0.0141560627908327	0.007882586246295634
o64.8	-0.019449304391633074	0.007847316361121251
o64.9	-0.024694589546925758	0.0078094148133172475
o65.0	-0.02989497593768424	0.007768829935083515
o65.1	-0.035046258036531136	0.007725387958596244
o65.2	-0.04014474729742305	0.007679343679147799
o65.3	-0.04519347177233998	0.007630791262007025
o65.4	-0.05018661415661693	0.007579482040393146
o65.5	-0.05512382589508307	0.007525645238416895
o65.6	-0.06000376884446476	0.007469445194326004
o65.7	-0.06482499731313048	0.007410594172096441
o65.8	-0.06958467418022973	0.007349332866621734
o65.9	-0.07428230950336387	0.007285825327597653
o66.0	-0.0789177605226847	0.007219777207592842
o66.1	-0.08348520223419954	0.007151477395433703
o66.2	-0.08798861542032657	0.007081020428863217
o66.3	-0.09242299416445295	0.007008137080370819
o66.4	-0.09678730433998803	0.0069332016813025005
o66.5	-0.10108223803592219	0.0068561692889815284
o66.6	-0.10530452446820276	0.006776724864732478
o66.7	-0.10945352190854539	0.006695675575695003
o66.8	-0.11352854948913249	0.006612455673169136
o66.9	-0.11752825238019321	0.006527050730112879
o67.0	-0.12145019213105471	0.006440110694495918
o67.1	-0.1252965183069578	0.006351103102037458
o67.2	-0.12906164877689286	0.006260196132600107
o67.3	-0.1327489614040722	0.00616775504991833
o67.4	-0.1363550140461035	0.006073369515185167
o67.5	-0.13987888784098523	0.005977412893437632
o67.6	-0.1433210511966823	0.005879887601000153
o67.7	-0.146679871614495	0.005780488994790444
o67.8	-0.14995376499753588	0.005679998870201514
o67.9	-0.15314428317369683	0.005577812770280466
o68.0	-0.1562476222447229	0.005474121082127484
o68.1	-0.15926598483953713	0.005369273758390955
o68.2	-0.1621973555100743	0.005262854967168218
o68.3	-0.1650404841533009	0.005155346720060357
o68.4	-0.1677966580920561	0.0050465735881641965
o68.5	-0.1704636655750754	0.004936453395395016
o68.6	-0.17304183583109733	0.0048255112622703
o68.7	-0.17553151733102343	0.004713245289323133
o68.8	-0.1779297459453716	0.004600091814460049
o68.9	-0.18023972780420283	0.00448596728622408
o69.0	-0.1824577714872179	0.004370737752339704
o69.1	-0.18458619972925744	0.004254943677420679
o69.2	-0.18662356718944473	0.004138069294364749
o69.3	-0.18856926016128978	0.004020596923024998
o69.4	-0.19042471085443047	0.003902363150928151
o69.5	-0.1921877888371145	0.0037833470030298327
o69.6	-0.1938604134301053	0.0036639439151879218
o69.7	-0.195441233963015	0.0035436110305335153
o69.8	-0.19693040746771712	0.0034232293138212327
o69.9	-0.1983288796239604	0.0033021198792914856
o70.0	-0.1996351048402495	0.0031806334059962874
o70.1	-0.200851316015646	0.003058849393996303
o70.2	-0.20197550544363435	0.0029365661896235337
o70.3	-0.20300960838318552	0.002814295707956778
o70.4	-0.20395318926355632	0.002691433207100656
o70.5	-0.2048057169168481	0.002568863485590614
o70.6	-0.2055692983131908	0.002445897832916155
o70.7	-0.20624217966505473	0.0023229520931251565
o70.8	-0.2068266613043785	0.002199978216892891
o70.9	-0.20732162047931543	0.002076955182461343
o71.0	-0.2077286695544999	0.00195415423432016
o71.1	-0.20804738123928537	0.0018312602640885303
o71.2	-0.20827902000666662	0.0017088110585381303
o71.3	-0.20842351119972372	0.0015862482655203125
o71.4	-0.20848173814859952	0.0014643268501053628
o71.5	-0.208454421535452	0.0013423646768191688
o71.6	-0.20834165430044813	0.0012210723024405797
o71.7	-0.20814505744086048	0.0010999501223811319
o71.8	-0.2078640369115499	0.0009794101707038053
o71.9	-0.20750084731873486	0.0008592470154223687
o72.0	-0.20705460821448163	0.0007396947820212905
o72.1	-0.20652779196191792	0.0006206524719876497
o72.2	-0.20591955262477218	0.0005022715261179637
o72.3	-0.20523231396876881	0.00038450745158007116
o72.4	-0.20446551043703096	0.00026747632711550395
o72.5	-0.20362123727016374	0.00015114310471124603
o72.6	-0.20269955297830522	3563510024598773e-20
o72.7	-0.2017019517191443	-7911973595831762e-20
o72.8	-0.2006291395981434	-0.00019293679735257752
o72.9	-0.19948220445312378	-0.0003059776697789552
o73.0	-0.1982620630820677	-0.0004179351030800163
o73.1	-0.19697003571315053	-0.0005291522986309877
o73.2	-0.19560657860185562	-0.0006390671376154452
o73.3	-0.19417371688654783	-0.0007481986069575106
o73.4	-0.19267169183382657	-0.0008560521845489469
o73.5	-0.19110192295298944	-0.0009629422597397502
o73.6	-0.18946612299596355	-0.0010686216597183013
o73.7	-0.18776432711203014	-0.0011731314783009579
o73.8	-0.18599877964355527	-0.0012765454040726586
o73.9	-0.1841701991568519	-0.001378516447962672
o74.0	-0.1822796620380944	-0.0014793880320552316
o74.1	-0.18032881319125024	-0.001578858200292037
o74.2	-0.17831871389317427	-0.0016770282565960134
o74.3	-0.1762506525669636	-0.0017739462455027687
o74.4	-0.17412575891762236	-0.0018692805132065615
o74.5	-0.1719455718762536	-0.0019633382288216372
o74.6	-0.16971144376392178	-0.002055926173384864
o74.7	-0.16742438184949088	-0.0021470105206151772
o74.8	-0.1650860389595371	-0.0022367212938398124
o74.9	-0.16269753505325907	-0.0023247607190538975
o75.0	-0.16026040628452823	-0.0024113692477883714
o75.1	-0.15777617939648755	-0.0024963845377438346
o75.2	-0.15524559465370796	-0.002579807644234244
o75.3	-0.1526706580941465	-0.002661701924101048
o75.4	-0.15005262833294825	-0.0027418538467800964
o75.5	-0.147393030564375	-0.0028205263408753647
o75.6	-0.1446924521701884	-0.0028973414983159314
o75.7	-0.14195339882929292	-0.002972682072334325
o75.8	-0.1391769036297875	-0.003046121753727546
o75.9	-0.13636433684070187	-0.003118030336137466
o76.0	-0.1335163971553955	-0.0031880632347118087
o76.1	-0.13063610110644067	-0.003256453643023186
o76.2	-0.1277237437570359	-0.0033230508561718844
o76.3	-0.1247807102668129	-0.0033878779401932957
o76.4	-0.1218088915747356	-0.0034509836809020786
o76.5	-0.11881008795440437	-0.003512194412514345
o76.6	-0.11578474077745775	-0.0035717512680325664
o76.7	-0.1127345760750795	-0.0036293259118900037
o76.8	-0.10966210600366816	-0.003685154161288101
o76.9	-0.10656728435064669	-0.0037392026932959316
o77.0	-0.10345200196265174	-0.003791308159685272
o77.1	-0.10031869110950148	-0.003841649626465139
o77.2	-0.09716740296503248	-0.0038901293717750335
o77.3	-0.09399990097427227	-0.0039367038824664365
o77.4	-0.09081865227335807	-0.003981481089501901
o77.5	-0.08762369832500139	-0.004024373387238427
o77.6	-0.08441684688804706	-0.004065362801750003
o77.7	-0.081200484842991	-0.004104527638728768
o77.8	-0.0779745392468789	-0.004141824618360754
o77.9	-0.07474107740010898	-0.004177204885788925
o78.0	-0.07150221658236289	-0.004210740713955722
o78.1	-0.06825785661776673	-0.004242431507844539
o78.2	-0.06501034502193052	-0.004272208799001517
o78.3	-0.06176133022478637	-0.0043001309679615435
o78.4	-0.05851086750427827	-0.004326198014724617
o78.5	-0.055261712139052066	-0.004350397646536736
o78.6	-0.05201467169244602	-0.0043727496014459195
o78.7	-0.04877022129121805	-0.0043932468460172736
o78.8	-0.04553127222620577	-0.004411889380250816
o78.9	-0.04229803132206583	-0.004428682398997415
o79.0	-0.03907180973472233	-0.004443683058144021
o79.1	-0.03585459156201988	-0.004456841525248799
o79.2	-0.03264643049175755	-0.004468157800311678
o79.3	-0.029450214502821162	-0.0044776625125693414
o79.4	-0.026266088583446513	-0.004485428827506639
o79.5	-0.0230946762810446	-0.004491376651884933
o79.6	-0.019938871614509808	-0.004495505985704293
o79.7	-0.016798687734483515	-0.004497894604630036
o79.8	-0.013675609319137132	-0.004498580059507373
o79.9	-0.010570794954372041	-0.004497479782455925
o80.0	-0.007484981488038826	-0.004494557027922494
o80.1	-0.004420670203422565	-0.004490094410879754
o80.2	-0.001376876911954178	-0.004483885912049193
o80.3	0.001643780334597937	-0.004475931531430742
o80.4	0.0046400268582884666	-0.0044663037453562815
o80.5	0.007612347417312315	-0.0044551193868865024
o80.6	0.010558313136157169	-0.004442234680201475
o80.7	0.013477671985407218	-0.004427637247701212
o80.8	0.016368480895213484	-0.004411622306583589
o80.9	0.019231134583165086	-0.004393957225952774
o81.0	0.022063818061855457	-0.004374613047713159
o81.1	0.02486487815991428	-0.004353877415044054
o81.2	0.027635454702008184	-0.00433159432059696
o81.3	0.03037269798955057	-0.004307715200194094
o81.4	0.03307649800929733	-0.004282404774661117
o81.5	0.03574601773953559	-0.0042556781416557
o81.6	0.03838067437703575	-0.004227412992697764
o81.7	0.04097863551926999	-0.004197759507780889
o81.8	0.043540158606275456	-0.004166775077132298
o81.9	0.04606460736013359	-0.004134312528101744
o82.0	0.04854957296841218	-0.004100528512968257
o82.1	0.05099662062062981	-0.004065482546763734
o82.2	0.05340336138693988	-0.004029021240281004
o82.3	0.05576956302988525	-0.0039913289567634555
o82.4	0.05809476758513518	-0.003952426979599195
o82.5	0.06037856079932837	-0.003912174411796268
o82.6	0.06261909017070903	-0.003870805125804379
o82.7	0.06481749476283837	-0.003828260834589231
o82.8	0.06697201758782198	-0.0037843747701377453
o82.9	0.06908207220327602	-0.0037396255540066148
o83.0	0.07114813068415994	-0.00369365971848213
o83.1	0.07316847374264196	-0.0036464926562864916
o83.2	0.07514339128858818	-0.0035984800689438383
o83.3	0.07707240037025377	-0.003549319439579632
o83.4	0.07895446602236487	-0.003499121761991117
o83.5	0.08078977153052026	-0.003448076786348366
o83.6	0.08257805366291118	-0.0033959530204427657
o83.7	0.08431781931335262	-0.003342981339677139
o83.8	0.08601028958486266	-0.0032891390795515042
o83.9	0.08765396408654341	-0.0032342659673711797
o84.0	0.0892488308389601	-0.0031788039045385456
o84.1	0.09079517751772383	-0.003122402547154745
o84.2	0.09229162199062045	-0.003065182851512572
o84.3	0.0937391221861536	-0.0030073321849075772
o84.4	0.09513680059846319	-0.002948603347638287
o84.5	0.09648430177701714	-0.0028893137239849667
o84.6	0.09778210104824568	-0.002829316105995728
o84.7	0.09902945911362968	-0.002768583921885885
o84.8	0.10022649823139453	-0.002707412352240153
o84.9	0.10137345552826275	-0.0026455098227162917
o85.0	0.10246930617739493	-0.002583138088258271
o85.1	0.10351509271585967	-0.002520234726022391
o85.2	0.1045099646564605	-0.0024567296108079888
o85.3	0.10545423793058908	-0.002392930368182236
o85.4	0.10634819275229082	-0.0023285361843199646
o85.5	0.10719102360861132	-0.002263832446758058
o85.6	0.10798376416425541	-0.0021987146818446338
o85.7	0.10872566503030293	-0.0021331749344890433
o85.8	0.10941738564315852	-0.002067438631210925
o85.9	0.11005883589219795	-0.0020011898514075976
o86.0	0.11064986460496104	-0.0019349401948755111
o86.1	0.11119119977710547	-0.0018682921334323317
o86.2	0.1116822671254638	-0.0018014491432327695
o86.3	0.11212413592734716	-0.0017344558260565942
o86.4	0.11251611481140213	-0.0016671926305576387
o86.5	0.11285912882588407	-0.001599957412164229
o86.6	0.11315318151474776	-0.0015324054014843533
o86.7	0.11339815464000093	-0.001465020571422785
o86.8	0.11359514929913034	-0.0013974323023992902
o86.9	0.11374343120606437	-0.0013298656956902723
o87.0	0.11384442454954509	-0.001262298471031327
o87.1	0.11389741937346835	-0.0011947096629818556
o87.2	0.11390366265240331	-0.0011272625327323794
o87.3	0.1138628447026982	-0.001059765608630867
o87.4	0.11377576393761507	-0.000992536224391858
o87.5	0.11364266573859921	-0.000925242691635136
o87.6	0.11346387744240387	-0.0008583270834113844
o87.7	0.11324007114464187	-0.0007914002279933718
o87.8	0.11297139830267901	-0.0007248382099527517
o87.9	0.11265862526311336	-0.000658391015614726
o88.0	0.11230195713709094	-0.0005922680229113013
o88.1	0.11190212294763423	-0.0005263702615502033
o88.2	0.11145940185445137	-0.00046081000847652577
o88.3	0.11097457368189506	-0.00039554961738374507
o88.4	0.1104477754411824	-0.00033065246064751565
o88.5	0.1098801747606234	-0.00026611489223038985
o88.6	0.10927153612370032	-0.0002019782139066166
o88.7	0.10862328127901033	-0.00013824625762179008
o88.8	0.10793522168704699	-7496436976448147e-20
o88.9	0.10720848275680937	-12117991649244347e-21
o89.0	0.10644344380821447	502179784494074e-19
o89.1	0.10564082819225176	0.00011210177173735965
o89.2	0.10480100732061408	0.0001734040134647322
o89.3	0.10392513401776794	0.0002342688740106713
o89.4	0.10301327581723235	0.00029443543749328206
o89.5	0.10206643808678094	0.0003541602458875413
o89.6	0.10108528599744995	0.0004131606609317131
o89.7	0.10007033811403787	0.00047164166686773906
o89.8	0.09902242223176518	0.0005294348862004065
o89.9	0.09794210533823217	0.0005865974822874174
o90.0	0.09683029422284793	0.0006431296742357893
o90.1	0.09568745390010319	0.0006988934144925977
o90.2	0.09451446939469886	0.0007540427867523074
o90.3	0.09331198615482901	0.0008084013270481371
o90.4	0.09208074700232609	0.0008620601440657251
o90.5	0.09082164257323846	0.0009150081957112182
o90.6	0.08953516549511897	0.0009671054417549823
o90.7	0.0882220609940555	0.0010184967538532969
o90.8	0.08688340059413774	0.0010690623820532735
o90.9	0.08551971142817402	0.0011188186074925451
o91.0	0.0841317204192603	0.0011678170538974005
o91.1	0.08272013896319504	0.001215884975977468
o91.2	0.08128604661664299	0.0012631798663106323
o91.3	0.0798300760371226	0.0013095877570357649
o91.4	0.07835259193635608	0.0013551350148022635
o91.5	0.07685501628756684	0.00139982735317836
o91.6	0.07533785628010227	0.0014435859184478914
o91.7	0.07380177154875132	0.0014865150606067218
o91.8	0.07224749629654423	0.0015284448008708908
o91.9	0.07067632171842211	0.0015695514928485517
o92.0	0.06908849737641214	0.0016096333984019382
o92.1	0.06748482703705175	0.0016488657154648326
o92.2	0.06586647401374493	0.0016870829783991338
o92.3	0.06423412630486176	0.0017243966807907376
o92.4	0.06258798886555138	0.0017607337402591539
o92.5	0.06092977516525316	0.0017961034861946074
o92.6	0.05925971504458504	0.0018305336859263197
o92.7	0.057578414165187296	0.00186393202409779
o92.8	0.055887261143145565	0.0018964270742191907
o92.9	0.05418661432198009	0.001927843317106907
o93.0	0.05247712435338992	0.001958309393251421
o93.1	0.05075999533092131	0.0019878026189458758
o93.2	0.049035831021752525	0.0020162430318703805
o93.3	0.04730507055984781	0.0020437235500054846
o93.4	0.04556899025447078	0.002070186837491916
o93.5	0.04382813215553539	0.00209561990645756
o93.6	0.042083011368422726	0.002120076147386976
o93.7	0.04033484833751769	0.0021435029895879205
o93.8	0.03858398481527813	0.0021659025294837753
o93.9	0.036831389292029	0.002187311676603316
o94.0	0.03507785603498978	0.0022077018185602624
o94.1	0.033323691417819164	0.002227057779316602
o94.2	0.03157024335453636	0.002245413937303452
o94.3	0.02981789498411413	0.0022627665181289888
o94.4	0.02806704953526475	0.0022790848295644543
o94.5	0.02631916201174059	0.002294399077436343
o94.6	0.0245742696120815	0.002308709261744646
o94.7	0.022833343988402702	0.002322007964058511
o94.8	0.021097240553438035	0.002334306026996677
o94.9	0.019366060804587235	0.0023456019337676597
o95.0	0.017641199497141224	0.0023558956843714677
o95.1	0.015922913455243836	0.0023651931199795105
o95.2	0.014211751059841748	0.0023735163733725525
o95.3	0.012508763991526761	0.0023808459208876642
o95.4	0.010814030833623482	0.002387181762524863
o95.5	0.009128944150729422	0.0023925469328999784
o95.6	0.00745345595579025	0.002396964405436521
o95.7	0.0057882746629059	0.002400402415591689
o95.8	0.004134446258290125	0.00240285493832231
o95.9	0.0024920793273205	0.0024043902299431246
o96.0	0.0008620934547211561	0.002404990751588929
o96.1	-0.0007553486178310011	0.0024046306010622534
o96.2	-0.0023591753296964453	0.002403301765944981
o96.3	-0.003948940224546551	0.0024011299135076776
o96.4	-0.005524678614174392	0.0023980197230424535
o96.5	-0.007085072333961008	0.0023939711945493262
o96.6	-0.008630010708499296	0.0023890341406923588
o96.7	-0.01015882621186964	0.002383248399838011
o96.8	-0.011671341318455928	0.002376549519752325
o96.9	-0.013166552638104605	0.0023689421267881604
o97.0	-0.014644185396960146	0.002360562004017448
o97.1	-0.016104223152386313	0.002351296316139345
o97.2	-0.017545459313891842	0.0023411158601174993
o97.3	-0.01896789726260809	0.0023302275705056486
o97.4	-0.02037099663972029	0.0023184850061447413
o97.5	-0.02175454937804719	0.002305886444440358
o97.6	-0.023117485592247754	0.0022925318128179384
o97.7	-0.024460276990479896	0.0022784085090658303
o97.8	-0.025782013455777273	0.002263460514215169
o97.9	-0.02708218673617126	0.002247779779632692
o98.0	-0.028360957061374606	0.002231377641426016
o98.1	-0.029617599542118685	0.0022141835978857494
o98.2	-0.030851731511996324	0.002196292964073065
o98.3	-0.03206324430304667	0.002177719271199601
o98.4	-0.03325190888545555	0.0021583876775568053
o98.5	-0.03441678431888533	0.0021384084696371344
o98.6	-0.03555849850684522	0.002117775207993713
o98.7	-0.03667608474496188	0.0020964098246349216
o98.8	-0.03776944307439075	0.00207447728110266
o98.9	-0.038838477645169886	0.002051900568655401
o99.0	-0.03988291065430613	0.002028612594933204
o99.1	-0.04090212527959254	0.0020048627020966773
o99.2	-0.041896636773382526	0.0019804622102613176
o99.3	-0.042865457949040786	0.001955426724795971
o99.4	-0.04380893262557226	0.0019299387606767397
o99.5	-0.044726746679860596	0.0019038371398068157
o99.6	-0.04561850523611494	0.0018771898952490377
o99.7	-0.046484367074706816	0.0018500885959724014
o99.8	-0.04732411032103222	0.0018224109106701298
o99.9	-0.048137332901916324	0.0017942805495139817
o100.0	-0.04892420595820859	0.0017656888367355295
